,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,benchmark,NS,val_loss,AU-ROC,ACC,do,baseline
0,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.6555166125373759,0.5434444444444444,0,OBS
1,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.7044091234286562,0.6316111111111111,0,OBS Oracle
2,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.8350416896694689,0.48738888888888887,0,COM
3,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.8030214739942402,0.6819444444444445,0,COM-SL
4,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.8364396283655561,0.509,0,RW
5,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.6469641841659985,0.6399444444444444,0,RW-SL
6,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.8325770476875344,0.48738888888888887,0,Proxy Oracle
7,0.0,0,0.4,0,0.07936251,0.49776172637939453,synthetic_1D_sinusoidal,60000,0.5001916883258584,0.8318034073799863,0.7730555555555556,0,Target Oracle
8,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.6418689092062565,0.5437777777777778,0,OBS
9,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.7025379282852492,0.624,0,OBS Oracle
10,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.8177328800685622,0.48827777777777776,0,COM
11,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.8112323750193611,0.742,0,COM-SL
12,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.8325158140315616,0.5988888888888889,0,RW
13,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.7153121223580186,0.6731111111111111,0,RW-SL
14,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.8200474053152103,0.5323888888888889,0,Proxy Oracle
15,0.0,0,0.4,0,0.07267233,0.5843105614185333,synthetic_1D_sinusoidal,60000,0.5091740486359291,0.8367813066735112,0.7671111111111111,0,Target Oracle
16,0.0,0,0.4,0,0.089132234,0.48296546936035156,synthetic_1D_sinusoidal,60000,0.5485407746071075,0.6510103276637232,0.5402222222222223,0,OBS
17,0.0,0,0.4,0,0.089132234,0.48296546936035156,synthetic_1D_sinusoidal,60000,0.5485407746071075,0.7085833182852155,0.5872222222222222,0,OBS Oracle
18,0.0,0,0.4,0,0.089132234,0.48296546936035156,synthetic_1D_sinusoidal,60000,0.5485407746071075,0.8228423050516545,0.4841111111111111,0,COM
19,0.0,0,0.4,0,0.089132234,0.48296546936035156,synthetic_1D_sinusoidal,60000,0.5485407746071075,0.818092113117093,0.7706111111111111,0,COM-SL
20,0.0,0,0.4,0,0.089132234,0.48296546936035156,synthetic_1D_sinusoidal,60000,0.5485407746071075,0.8418505556549425,0.6691111111111111,0,RW
